Literal,Source,Part of the text,Entity type,ES Time elapsed,# ES Hits,DBpedia in first 100,100 or less,Hits
Willemstraat,MastbosBredaroute,in text,LOC,18,423,91.0,100.0,"[u'http://wikidata.dbpedia.org/resource/Q2915046', u'http://wikidata.dbpedia.org/resource/Q19658215', u'http://wikidata.dbpedia.org/resource/Q19658232', u'http://wikidata.dbpedia.org/resource/Q19658234', u'http://wikidata.dbpedia.org/resource/Q19658239', u'http://wikidata.dbpedia.org/resource/Q19658264', u'http://wikidata.dbpedia.org/resource/Q19658276', u'http://wikidata.dbpedia.org/resource/Q19658289', u'http://wikidata.dbpedia.org/resource/Q19658222', u'http://wikidata.dbpedia.org/resource/Q19658226', u'http://wikidata.dbpedia.org/resource/Q19658241', u'http://wikidata.dbpedia.org/resource/Q19658243', u'http://wikidata.dbpedia.org/resource/Q19658248', u'http://wikidata.dbpedia.org/resource/Q19658253', u'http://wikidata.dbpedia.org/resource/Q19658255', u'http://wikidata.dbpedia.org/resource/Q19658257', u'http://wikidata.dbpedia.org/resource/Q19658267', u'http://wikidata.dbpedia.org/resource/Q19658274', u'http://wikidata.dbpedia.org/resource/Q19658282', u'http://wikidata.dbpedia.org/resource/Q19658284']"
Academiesingel,MastbosBredaroute,in text,LOC,10,19,13.0,19.0,"[u'http://www.wikidata.org/entity/Q2686740', u'http://nl.dbpedia.org/resource/Academiesingel', u'http://nl.dbpedia.org/resource/Academiesingel', u'http://wikidata.dbpedia.org/resource/Q2686740', u'http://bag.kadaster.nl/id/openbareruimte/0758300000000079', u'http://nl.dbpedia.org/resource/Academiesingel', u'http://nl.dbpedia.org/resource/Academiesingel', u'http://nl.dbpedia.org/resource/Academiesingel', u'http://nl.dbpedia.org/resource/Academiesingel', u'http://nl.dbpedia.org/resource/Spoorbuurt_Breda', u'http://nl.dbpedia.org/resource/Spoorbuurt_Breda', u'http://nl.dbpedia.org/resource/Spoorbuurt_Breda', u'http://nl.dbpedia.org/resource/Spoorbuurt_Breda', u'http://nl.dbpedia.org/resource/Spanjaardsgat', u'http://nl.dbpedia.org/resource/Spanjaardsgat', u'http://www.harsmedia.com/SoundBlog/Archief/00622.php#00622a', u'http://www.harsmedia.com/SoundBlog/Archief/00622.php#00622a', u'http://www.harsmedia.com/SoundBlog/Archief/00622.php', u'http://www.harsmedia.com/SoundBlog/Archief/00622.php']"
Valkenbergpark,MastbosBredaroute,in text,MON,7,0,0.0,0.0,[]
Nieuwe Prinsenkade,MastbosBredaroute,in text,LOC,194,247623,91.0,100.0,"[u'http://wikidata.dbpedia.org/resource/Q19354986', u'http://wikidata.dbpedia.org/resource/Q19431266', u'http://www.wikidata.org/entity/Q2800538', u'http://nl.dbpedia.org/resource/Prinsenkade', u'http://nl.dbpedia.org/resource/Prinsenkade', u'http://nl.dbpedia.org/resource/Prinsenkade', u'http://nl.dbpedia.org/resource/Prinsenkade', u'http://wikidata.dbpedia.org/resource/Q2800538', u'http://nl.dbpedia.org/resource/Prinsenkade', u'http://nl.dbpedia.org/resource/Prinsenkade', u'http://nl.dbpedia.org/resource/Prinsenkade', u'http://nl.dbpedia.org/resource/Prinsenkade', u'http://bag.kadaster.nl/id/openbareruimte/0758300000001802', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__170', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__173', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)']"
Engelbrecht van Nassau,MastbosBredaroute,in text,PER,527,13648609,93.0,100.0,"[u'http://nl.dbpedia.org/resource/Engelbrecht_I_van_Nassau', u'http://nl.dbpedia.org/resource/Stamboom_Engelbrecht_van_Nassau', u'http://www.wikidata.org/entity/Q1966663', u'http://nl.dbpedia.org/resource/Engelbrecht_II_van_Nassau', u'http://nl.dbpedia.org/resource/Stamboom_Engelbrecht_van_Nassau', u'http://nl.dbpedia.org/resource/Engelbrecht_II_van_Nassau', u'http://wikidata.dbpedia.org/resource/Q1966663', u'http://wikidata.dbpedia.org/resource/Q76080', u'http://dbpedia.org/resource/Engelbert_II_of_Nassau', u'http://nl.dbpedia.org/resource/Engelbrecht_I_van_Nassau', u'http://dbpedia.org/resource/Engelbert_II_of_Nassau', u'http://dbpedia.org/resource/Engelbert_II_of_Nassau', u'http://wikidata.dbpedia.org/resource/Q76080', u'http://nl.dbpedia.org/resource/Engelbrecht_I_van_Nassau-Dillenburg', u'http://nl.dbpedia.org/resource/Engelbrecht_II_van_Nassau-Dillenburg', u'http://dbpedia.org/resource/Engelbert_I_of_Nassau', u'http://wikidata.dbpedia.org/resource/Q75479', u'http://dbpedia.org/resource/Engelbert_I_of_Nassau', u'http://dbpedia.org/resource/Engelbert_I_of_Nassau', u'http://nl.dbpedia.org/resource/Grafmonument_Engelbrecht_I_van_Nassau']"
Hendrik III van Nassau,MastbosBredaroute,in text,PER,651,17537045,89.0,100.0,"[u'http://wikidata.dbpedia.org/resource/Q69450', u'http://www.wikidata.org/entity/Q69450', u'http://nl.dbpedia.org/resource/Hendrik_III_van_Nassau', u'http://nl.dbpedia.org/resource/Hendrik_III_van_Nassau', u'http://nl.dbpedia.org/resource/Hendrik_III_van_Nassau-Breda', u'http://nl.dbpedia.org/resource/Hendrik_III_van_Nassau-Beilstein', u'http://wikidata.dbpedia.org/resource/Q2755987', u'http://nl.dbpedia.org/resource/Hendrik_III_van_Nassau-Beilstein', u'http://nl.dbpedia.org/resource/Hendrik_III_van_Nassau-Beilstein', u'http://www.wikidata.org/entity/Q69450', u'http://nl.dbpedia.org/resource/Hendrik_III_van_Nassau-Beilstein', u'http://nl.dbpedia.org/resource/Hendrik_III_van_Nassau-Breda', u'http://dbpedia.org/resource/Henry_III_of_Nassau-Breda', u'http://rdf.freebase.com/ns/m.042fs9', u'http://wikidata.dbpedia.org/resource/Q69450', u'http://dbpedia.org/resource/Henry_III_of_Nassau-Breda', u'http://www.wikidata.org/entity/Q2755987', u'http://nl.dbpedia.org/resource/Hendrik_III_van_Nassau-Beilstein', u'http://nl.dbpedia.org/resource/Hendrik_III_van_Nassau-Beilstein', u'http://nl.dbpedia.org/resource/Hendrik_III_van_Nassau-Beilstein']"
Willem van Oranje,MastbosBredaroute,in text,PER,528,13600604,95.0,100.0,"[u'http://nl.dbpedia.org/resource/Slag_bij_Leuven_(1831)', u'http://nl.dbpedia.org/resource/Slag_om_Baasrode', u'http://nl.dbpedia.org/resource/CSG_Willem_van_Oranje', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Den_Haag', u'http://nl.dbpedia.org/resource/Maximilien_de_H\xe9nin-Li\xe9tard', u'http://nl.dbpedia.org/resource/Willem_V_van_Oranje', u'http://nl.dbpedia.org/resource/Filips_Willem_van_Oranje', u'http://nl.dbpedia.org/resource/Willem_van_Oranje_(film)', u'http://nl.dbpedia.org/resource/Sint-Jorisgilde_(Gent)', u'http://nl.dbpedia.org/resource/\xc9mile_de_Nieuwerkerke', u'http://nl.dbpedia.org/resource/Willem_van_Oranje_(televisieserie)', u'http://nl.dbpedia.org/resource/Willem_II_van_Oranje', u'http://nl.dbpedia.org/resource/Willem_van_Oranje-Nassau', u'http://nl.dbpedia.org/resource/Willem_van_Oranje', u'http://nl.dbpedia.org/resource/Willem_van_oranje_college', u'http://nl.dbpedia.org/resource/Willem_van_Oranje_(hoofdbetekenis)', u'http://nl.dbpedia.org/resource/Willem_van_Oranje_College', u'http://dbpedia.org/resource/Willem_van_Oranje_%28film%29', u'http://dbpedia.org/resource/William_II%2C_Prince_of_Orange', u'http://dbpedia.org/resource/William_the_Silent']"
Prins Filips Willem,MastbosBredaroute,in text,PER,71,372589,96.0,100.0,"[u'http://nl.dbpedia.org/resource/Filips_Willem_van_Oranje', u'http://dbpedia.org/resource/Philip_William,_Prince_of_Orange', u'http://dbpedia.org/resource/Philip_William,_Prince_of_Orange', u'http://nl.dbpedia.org/resource/Filips_Willem_van_Oranje', u'http://dbpedia.org/resource/Philip_William,_Prince_of_Orange', u'http://nl.dbpedia.org/resource/Filips_Willem_van_Oranje', u'http://nl.dbpedia.org/resource/Filips_Willem_van_Oranje', u'http://dbpedia.org/resource/Philip_William,_Prince_of_Orange', u'http://nl.dbpedia.org/resource/Prins_Filips', u'http://nl.dbpedia.org/resource/Slag_bij_Poitiers_(1356)', u'http://dbpedia.org/resource/Battle_of_Poitiers_%281356%29', u'http://dbpedia.org/resource/Battle_of_Poitiers_%281356%29', u'http://dbpedia.org/resource/Battle_of_Poitiers', u'http://nl.dbpedia.org/resource/Slag_bij_Poitiers_(1356)', u'http://nl.dbpedia.org/resource/Slag_bij_Poitiers_(1356)', u'http://dbpedia.org/resource/Battle_of_Poitiers', u'http://www.wikidata.org/entity/Q468968', u'http://nl.dbpedia.org/resource/Slag_bij_Poitiers_(1356)', u'http://nl.dbpedia.org/resource/Slag_bij_Poitiers_(1356)', u'http://nl.dbpedia.org/resource/Prins_Filips']"
Breda,MastbosBredaroute,in text,LOC,32,76648,99.0,100.0,"[u'http://nl.dbpedia.org/resource/Verzorgingsplaats_Voetpomp', u'http://nl.dbpedia.org/resource/Pieter_Huijsers', u'http://nl.dbpedia.org/resource/Pieter_Huijsers', u'http://nl.dbpedia.org/resource/Verzorgingsplaats_Vliedberg', u'http://nl.dbpedia.org/resource/Verzorgingsplaats_Voetpomp', u'http://nl.dbpedia.org/resource/Sint-Antoniuskathedraal_(Breda)', u'http://nl.dbpedia.org/resource/Ronde_van_Nederland_1984', u'http://nl.dbpedia.org/resource/Frans_K\xfcnen', u'http://nl.dbpedia.org/resource/Ginnekenstraat_(Breda)', u'http://nl.dbpedia.org/resource/Ginnekenweg', u'http://nl.dbpedia.org/resource/Prinsenkade', u'http://nl.dbpedia.org/resource/\xd6mer_Bayram', u'http://nl.dbpedia.org/resource/Baronielaan', u'http://nl.dbpedia.org/resource/Breda_(geslacht)', u'http://nl.dbpedia.org/resource/Breda_apicalis', u'http://nl.dbpedia.org/resource/Boschstraat_(Breda)', u'http://nl.dbpedia.org/resource/Breda_(Spanje)', u'http://nl.dbpedia.org/resource/Breda_(gemeente)', u'http://nl.dbpedia.org/resource/Breda_(geslacht)', u'http://nl.dbpedia.org/resource/Breda_bistriata']"
Prins Maurits,MastbosBredaroute,in text,PER,39,129554,87.0,100.0,"[u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__72', u'http://wikidata.dbpedia.org/resource/Q2049426', u'http://wikidata.dbpedia.org/resource/Q17343336', u'http://nl.dbpedia.org/resource/Beleg_van_Hulst_(1596)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://www.wikidata.org/entity/Q2049426', u'http://nl.dbpedia.org/resource/Beleg_van_Hulst_(1596)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__72', u'http://www.wikidata.org/entity/Q17343336', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Beleg_van_Hulst_(1596)', u'http://nl.dbpedia.org/resource/Prins_Maurits', u'http://nl.dbpedia.org/resource/Prins_Maurits', u'http://nl.dbpedia.org/resource/Beleg_van_Hulst_(1596)', u'http://sws.geonames.org/6950183/', u'http://nl.dbpedia.org/resource/Eendracht_(zeilend_zeeschip)', u'http://nl.dbpedia.org/resource/Molen_Prins_Maurits', u'http://nl.dbpedia.org/resource/Prins_Maurits-Medaille']"
Spanjaarden,MastbosBredaroute,in text,PER,13,5348,48.0,100.0,"[u'http://nl.dbpedia.org/resource/Spanjaarden', u'http://nl.dbpedia.org/resource/Bestorming_van_Rotterdam_(1572)', u'http://dbpedia.org/resource/Spanish_people', u'http://dbpedia.org/resource/Spanish_people', u'http://rdf.freebase.com/ns/m.03ttfc', u'http://nl.dbpedia.org/resource/Bestorming_van_Rotterdam_(1572)', u'http://nl.dbpedia.org/resource/Bestorming_van_Rotterdam_(1572)', u'http://lod.b3kat.de/title/BV002933250', u'http://lod.b3kat.de/title/BV002940372', u'http://lod.b3kat.de/title/BV005646970', u'http://lod.b3kat.de/title/BV005478095', u'http://lod.b3kat.de/title/BV005136944', u'http://lod.b3kat.de/title/BV001779609', u'http://lod.b3kat.de/title/BV005339357', u'http://lod.b3kat.de/title/BV000550184', u'http://lod.b3kat.de/title/BV004381370', u'http://lod.b3kat.de/title/BV003369259', u'http://lod.b3kat.de/title/BV007715935', u'http://lod.b3kat.de/title/BV008782068', u'http://nl.dbpedia.org/resource/Spaanse_Furie_(Maastricht)']"
Granaat- en Duiventoren,MastbosBredaroute,in text,MON,5358,93193038,82.0,100.0,"[u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Gentbrugge', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Gentbrugge', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Gentbrugge', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Gent/deel10', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Gent/deel10', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Gentbrugge', u'http://nl.dbpedia.org/resource/Kasteel_Renswoude', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Putten_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Linschoten', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Renswoude', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Aalter', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Linschoten__Linschoten__55', u'http://nl.dbpedia.org/resource/Duiventoren', u'http://wikidata.dbpedia.org/resource/Q2593974', u'http://wikidata.dbpedia.org/resource/Q19057816', u'http://nl.dbpedia.org/resource/Lijst_van_gemeentelijke_monumenten_in_Zeist', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Aalter', u'http://nl.dbpedia.org/resource/Lijst_van_gemeentelijke_monumenten_in_Zeist__0355__373', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Putten_(plaats)__Putten__84', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Linschoten__Linschoten__55']"
