Literal,Source,Part of the text,Entity type,ES Time elapsed,# ES Hits,DBpedia in first 100,100 or less,Hits
Willemstraat,MastbosBredaroute,in text,LOC,5,423,53.0,100.0,"[u'http://de.dbpedia.org/resource/Liste_von_Moscheen_in_Europa', u'http://wikidata.dbpedia.org/resource/Q15884041', u'http://wikidata.dbpedia.org/resource/Q2915046', u'http://wikidata.dbpedia.org/resource/Q19658215', u'http://wikidata.dbpedia.org/resource/Q19658232', u'http://wikidata.dbpedia.org/resource/Q19658234', u'http://wikidata.dbpedia.org/resource/Q19658239', u'http://wikidata.dbpedia.org/resource/Q19658264', u'http://wikidata.dbpedia.org/resource/Q19658276', u'http://wikidata.dbpedia.org/resource/Q19658289', u'http://wikidata.dbpedia.org/resource/Q19658222', u'http://wikidata.dbpedia.org/resource/Q19658226', u'http://wikidata.dbpedia.org/resource/Q19658241', u'http://wikidata.dbpedia.org/resource/Q19658243', u'http://wikidata.dbpedia.org/resource/Q19658248', u'http://wikidata.dbpedia.org/resource/Q19658253', u'http://wikidata.dbpedia.org/resource/Q19658255', u'http://wikidata.dbpedia.org/resource/Q19658257', u'http://wikidata.dbpedia.org/resource/Q19658267', u'http://wikidata.dbpedia.org/resource/Q19658274']"
Academiesingel,MastbosBredaroute,in text,LOC,4,19,13.0,19.0,"[u'http://www.wikidata.org/entity/Q2686740', u'http://bag.kadaster.nl/id/openbareruimte/0758300000000079', u'http://nl.dbpedia.org/resource/Academiesingel', u'http://nl.dbpedia.org/resource/Academiesingel', u'http://wikidata.dbpedia.org/resource/Q2686740', u'http://nl.dbpedia.org/resource/Academiesingel', u'http://nl.dbpedia.org/resource/Academiesingel', u'http://nl.dbpedia.org/resource/Academiesingel', u'http://nl.dbpedia.org/resource/Academiesingel', u'http://www.harsmedia.com/SoundBlog/Archief/00622.php#00622a', u'http://www.harsmedia.com/SoundBlog/Archief/00622.php#00622a', u'http://nl.dbpedia.org/resource/Spoorbuurt_Breda', u'http://nl.dbpedia.org/resource/Spoorbuurt_Breda', u'http://www.harsmedia.com/SoundBlog/Archief/00622.php', u'http://www.harsmedia.com/SoundBlog/Archief/00622.php', u'http://nl.dbpedia.org/resource/Spoorbuurt_Breda', u'http://nl.dbpedia.org/resource/Spoorbuurt_Breda', u'http://nl.dbpedia.org/resource/Spanjaardsgat', u'http://nl.dbpedia.org/resource/Spanjaardsgat']"
Valkenbergpark,MastbosBredaroute,in text,MON,5,0,0.0,0.0,[]
Nieuwe Prinsenkade,MastbosBredaroute,in text,LOC,97,247623,75.0,100.0,"[u'http://bag.kadaster.nl/id/openbareruimte/0758300000001802', u'http://wikidata.dbpedia.org/resource/Q19354986', u'http://wikidata.dbpedia.org/resource/Q19431266', u'http://www.wikidata.org/entity/Q2800538', u'http://nl.dbpedia.org/resource/Prinsenkade', u'http://nl.dbpedia.org/resource/Prinsenkade', u'http://nl.dbpedia.org/resource/Prinsenkade', u'http://nl.dbpedia.org/resource/Prinsenkade', u'http://wikidata.dbpedia.org/resource/Q2800538', u'http://nl.dbpedia.org/resource/Prinsenkade', u'http://nl.dbpedia.org/resource/Prinsenkade', u'http://bag.kadaster.nl/id/openbareruimte/0715300000000907', u'http://bag.kadaster.nl/id/openbareruimte/0758300000001485', u'http://nl.dbpedia.org/resource/Prinsenkade', u'http://nl.dbpedia.org/resource/Prinsenkade', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__170']"
Engelbrecht van Nassau,MastbosBredaroute,in text,PER,321,13648609,92.0,100.0,"[u'http://nl.dbpedia.org/resource/Engelbrecht_I_van_Nassau', u'http://nl.dbpedia.org/resource/Stamboom_Engelbrecht_van_Nassau', u'http://www.wikidata.org/entity/Q1966663', u'http://ld.zdb-services.de/resource/2778674-2', u'http://nl.dbpedia.org/resource/Engelbrecht_II_van_Nassau', u'http://nl.dbpedia.org/resource/Stamboom_Engelbrecht_van_Nassau', u'http://nl.dbpedia.org/resource/Engelbrecht_II_van_Nassau', u'http://wikidata.dbpedia.org/resource/Q1966663', u'http://wikidata.dbpedia.org/resource/Q76080', u'http://dbpedia.org/resource/Engelbert_II_of_Nassau', u'http://nl.dbpedia.org/resource/Engelbrecht_I_van_Nassau', u'http://dbpedia.org/resource/Engelbert_II_of_Nassau', u'http://dbpedia.org/resource/Engelbert_II_of_Nassau', u'http://wikidata.dbpedia.org/resource/Q76080', u'http://nl.dbpedia.org/resource/Engelbrecht_I_van_Nassau-Dillenburg', u'http://nl.dbpedia.org/resource/Engelbrecht_II_van_Nassau-Dillenburg', u'http://dbpedia.org/resource/Engelbert_I_of_Nassau', u'http://wikidata.dbpedia.org/resource/Q75479', u'http://dbpedia.org/resource/Engelbert_II_of_Nassau', u'http://dbpedia.org/resource/Engelbert_I_of_Nassau']"
Hendrik III van Nassau,MastbosBredaroute,in text,PER,468,17537045,84.0,100.0,"[u'http://wikidata.dbpedia.org/resource/Q69450', u'http://www.wikidata.org/entity/Q69450', u'http://nl.dbpedia.org/resource/Hendrik_III_van_Nassau', u'http://nl.dbpedia.org/resource/Hendrik_III_van_Nassau', u'http://nl.dbpedia.org/resource/Hendrik_III_van_Nassau-Breda', u'http://nl.dbpedia.org/resource/Hendrik_III_van_Nassau-Beilstein', u'http://dbpedia.org/resource/Henry_III_of_Nassau-Breda', u'http://wikidata.dbpedia.org/resource/Q2755987', u'http://nl.dbpedia.org/resource/Hendrik_III_van_Nassau-Beilstein', u'http://nl.dbpedia.org/resource/Hendrik_III_van_Nassau-Beilstein', u'http://www.wikidata.org/entity/Q69450', u'http://nl.dbpedia.org/resource/Hendrik_III_van_Nassau-Beilstein', u'http://nl.dbpedia.org/resource/Hendrik_III_van_Nassau-Breda', u'http://dbpedia.org/resource/Henry_III_of_Nassau-Breda', u'http://rdf.freebase.com/ns/m.042fs9', u'http://wikidata.dbpedia.org/resource/Q69450', u'http://dbpedia.org/resource/Henry_III_of_Nassau-Breda', u'http://www.wikidata.org/entity/Q2755987', u'http://nl.dbpedia.org/resource/Hendrik_III_van_Nassau-Beilstein', u'http://nl.dbpedia.org/resource/Hendrik_III_van_Nassau-Beilstein']"
Willem van Oranje,MastbosBredaroute,in text,PER,438,13600604,78.0,100.0,"[u'http://nl.dbpedia.org/resource/Slag_bij_Leuven_(1831)', u'http://nl.dbpedia.org/resource/Slag_om_Baasrode', u'http://nl.dbpedia.org/resource/CSG_Willem_van_Oranje', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Den_Haag', u'http://nl.dbpedia.org/resource/Maximilien_de_H\xe9nin-Li\xe9tard', u'http://nl.dbpedia.org/resource/Willem_V_van_Oranje', u'http://nl.dbpedia.org/resource/Filips_Willem_van_Oranje', u'http://nl.dbpedia.org/resource/Willem_van_Oranje_(film)', u'http://nl.dbpedia.org/resource/Sint-Jorisgilde_(Gent)', u'http://nl.dbpedia.org/resource/\xc9mile_de_Nieuwerkerke', u'http://nl.dbpedia.org/resource/Willem_van_Oranje_(televisieserie)', u'http://dbpedia.org/resource/Willem_van_Oranje_%28film%29', u'http://nl.dbpedia.org/resource/Willem_II_van_Oranje', u'http://nl.dbpedia.org/resource/Willem_van_Oranje-Nassau', u'http://nl.dbpedia.org/resource/Willem_van_Oranje', u'http://nl.dbpedia.org/resource/Willem_van_oranje_college', u'http://id.dbpedia.org/resource/Willem_van_Oranje', u'http://nl.dbpedia.org/resource/Willem_van_Oranje_(hoofdbetekenis)', u'http://nl.dbpedia.org/resource/Willem_van_Oranje_College', u'http://dbpedia.org/resource/William_II%2C_Prince_of_Orange']"
Prins Filips Willem,MastbosBredaroute,in text,PER,127,372589,88.0,100.0,"[u'http://d-nb.info/gnd/136343716', u'http://lod.b3kat.de/title/BV001568094', u'http://lod.hebis.de/resource/28685706', u'http://lod.hebis.de/resource/28685706', u'http://lobid.org/resource/HT017101186', u'http://lobid.org/resource/HT017101186', u""http://it.dbpedia.org/resource/Filippo_Guglielmo_d'Orange"", u'http://nl.dbpedia.org/resource/Filips_Willem_van_Oranje', u""http://it.dbpedia.org/resource/Filippo_Guglielmo_d'Orange"", u""http://it.dbpedia.org/resource/Filippo_Guglielmo_d'Orange"", u'http://dbpedia.org/resource/Philip_William,_Prince_of_Orange', u'http://dbpedia.org/resource/Philip_William,_Prince_of_Orange', u'http://dbpedia.org/resource/Philip_William,_Prince_of_Orange', u'http://nl.dbpedia.org/resource/Filips_Willem_van_Oranje', u'http://dbpedia.org/resource/Philip_William,_Prince_of_Orange', u'http://dbpedia.org/resource/Philip_William,_Prince_of_Orange', u'http://d-nb.info/gnd/100440541', u'http://dbpedia.org/resource/Philip_William,_Prince_of_Orange', u""http://it.dbpedia.org/resource/Filippo_Guglielmo_d'Orange"", u'http://nl.dbpedia.org/resource/Filips_Willem_van_Oranje']"
Breda,MastbosBredaroute,in text,LOC,7,76648,83.0,100.0,"[u'http://data.bibsys.no/data/notrbib/authorityentry/x02030785', u'http://ld.zdb-services.de/resource/630207-5', u'http://ld.zdb-services.de/resource/984294-9', u'http://data.bibsys.no/data/notrbib/authorityentry/x02030785', u'http://nl.dbpedia.org/resource/Verzorgingsplaats_Voetpomp', u'http://dbpedia.org/resource/Breda', u'http://nl.dbpedia.org/resource/Pieter_Huijsers', u'http://nl.dbpedia.org/resource/Pieter_Huijsers', u'http://dbpedia.org/resource/Gustavo_Breda_Rodrigues', u'http://dbpedia.org/resource/Breda_Smolnikar', u'http://nl.dbpedia.org/resource/Verzorgingsplaats_Vliedberg', u'http://nl.dbpedia.org/resource/Verzorgingsplaats_Voetpomp', u'http://ca.dbpedia.org/resource/Can_Valent_(Breda)', u'http://dbpedia.org/resource/NAC_Breda', u'http://ca.dbpedia.org/resource/Jacob_Gijsbertus_Samu\xebl_van_Breda', u'http://ca.dbpedia.org/resource/Llista_de_monuments_de_Breda', u'http://ca.dbpedia.org/resource/Can_Clapers', u'http://no.dbpedia.org/resource/Breda_(navn)', u'http://dbpedia.org/resource/Black_Hole_Recordings', u'http://dbpedia.org/resource/Breda_railway_station']"
Prins Maurits,MastbosBredaroute,in text,PER,105,129554,66.0,100.0,"[u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__72', u'http://wikidata.dbpedia.org/resource/Q2049426', u'http://wikidata.dbpedia.org/resource/Q17343336', u'http://nl.dbpedia.org/resource/Beleg_van_Hulst_(1596)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://fy.dbpedia.org/resource/Prins_Maurits', u'http://www.wikidata.org/entity/Q2049426', u'http://linkedgeodata.org/triplify/way58629247', u'http://nl.dbpedia.org/resource/Beleg_van_Hulst_(1596)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://data.cultureelerfgoed.nl/id/40CF6B00-0304-48A8-B368-A7C0713B7C20', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__72', u'http://lobid.org/resource/HT004260001', u'http://www.wikidata.org/entity/Q17343336', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://linkedgeodata.org/triplify/node2405220852', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Beleg_van_Hulst_(1596)', u'http://nl.dbpedia.org/resource/Prins_Maurits', u'http://nl.dbpedia.org/resource/Prins_Maurits']"
Spanjaarden,MastbosBredaroute,in text,PER,6,5348,47.0,100.0,"[u'http://nl.dbpedia.org/resource/Spanjaarden', u'http://nl.dbpedia.org/resource/Bestorming_van_Rotterdam_(1572)', u'http://dbpedia.org/resource/Spanish_people', u'http://dbpedia.org/resource/Spanish_people', u'http://rdf.freebase.com/ns/m.03ttfc', u'http://nl.dbpedia.org/resource/Bestorming_van_Rotterdam_(1572)', u'http://mk.dbpedia.org/resource/Spanjaarden', u'http://nl.dbpedia.org/resource/Bestorming_van_Rotterdam_(1572)', u'http://lod.b3kat.de/title/BV002933250', u'http://lod.b3kat.de/title/BV002940372', u'http://lod.b3kat.de/title/BV005646970', u'http://lod.b3kat.de/title/BV005478095', u'http://lod.b3kat.de/title/BV005136944', u'http://lod.b3kat.de/title/BV001779609', u'http://lod.b3kat.de/title/BV005339357', u'http://lod.b3kat.de/title/BV000550184', u'http://lod.b3kat.de/title/BV004381370', u'http://lod.b3kat.de/title/BV003369259', u'http://lod.b3kat.de/title/BV007715935', u'http://lod.b3kat.de/title/BV008782068']"
