Literal,Source,Part of the text,Entity type,ES Time elapsed,# ES Hits,DBpedia % (in first 100),Hits
Transvaalplein,AmsterdamviaWesterborkpadroute,waypoint,LOC,9,19,100.0,"[u'http://wikidata.dbpedia.org/resource/Q19570442', u'http://wikidata.dbpedia.org/resource/Q19570448', u'http://wikidata.dbpedia.org/resource/Q19570445', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam__1472__1', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam__1472__1', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam__1472__1', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam']"
Muiderpoortstation,AmsterdamviaWesterborkpadroute,waypoint,LOC,9,87,90.0,"[u'http://nl.dbpedia.org/resource/Muiderpoortstation', u'http://nl.dbpedia.org/resource/Muiderpoortstation', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam__102__1', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam__102__1', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Amsterdam,_stadsdeel_Oost', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Amsterdam-Oost__Amsterdam__90', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Amsterdam-Oost__Amsterdam__90', u'http://www.wikidata.org/entity/Q17292013']"
Jan Dokter,AmsterdamviaWesterborkpadroute,in text ,PER,17,0,,[]
Amsterdam,AmsterdamviaWesterborkpadroute,in text,LOC,251,1339677,100.0,"[u'http://nl.dbpedia.org/resource/Amsterdam', u'http://nl.dbpedia.org/resource/Amsterdam', u'http://nl.dbpedia.org/resource/Amsterdam', u'http://nl.dbpedia.org/resource/Amsterdam', u'http://nl.dbpedia.org/resource/Amsterdam', u'http://nl.dbpedia.org/resource/Amsterdam', u'http://nl.dbpedia.org/resource/Shane_Arana_Barrantes', u'http://nl.dbpedia.org/resource/Stichting_Onderzoek_Multinationale_Ondernemingen', u'http://nl.dbpedia.org/resource/Mustafa_Kaya', u'http://nl.dbpedia.org/resource/NMAX']"
kamp Westerbork,AmsterdamviaWesterborkpadroute,in text,LOC,17,556,90.0,"[u'http://nl.dbpedia.org/resource/Kamp_Westerbork', u'http://dbpedia.org/resource/Westerbork_concentration_camp', u'http://dbpedia.org/resource/Westerbork_concentration_camp', u'http://dbpedia.org/resource/Westerbork_concentration_camp', u'http://dbpedia.org/resource/Westerbork_transit_camp', u'http://nl.dbpedia.org/resource/Kamp_Westerbork', u'http://dbpedia.org/resource/Westerbork_concentration_camp', u'http://rdf.freebase.com/ns/m.0jr6l', u'http://wikidata.dbpedia.org/resource/Q18767806', u'http://nl.dbpedia.org/resource/Kamp_Westerbork']"
Duitsland,AmsterdamviaWesterborkpadroute,in text,LOC,40,166820,100.0,"[u'http://nl.dbpedia.org/resource/Limbach_(Bad_M\xfcnstereifel)', u'http://nl.dbpedia.org/resource/Lind_(Zirndorf)', u'http://nl.dbpedia.org/resource/Lindweiler_(Blankenheim)', u'http://nl.dbpedia.org/resource/Linum_(Fehrbellin)', u'http://nl.dbpedia.org/resource/Lommersdorf', u'http://nl.dbpedia.org/resource/Londorf', u'http://nl.dbpedia.org/resource/Losheim_(Hellenthal)', u'http://nl.dbpedia.org/resource/Loverich', u'http://nl.dbpedia.org/resource/Lucherberg', u'http://nl.dbpedia.org/resource/Luchthaven_Berlin-Gatow']"
Oostenrijk,AmsterdamviaWesterborkpadroute,in text,LOC,35,82933,90.0,"[u'http://sws.geonames.org/2782113/', u'http://nl.dbpedia.org/resource/Zeinisjoch', u'http://nl.dbpedia.org/resource/Zirler_Berg', u'http://nl.dbpedia.org/resource/Serles', u'http://nl.dbpedia.org/resource/Seekogel_(\xd6tztaler_Alpen)', u'http://nl.dbpedia.org/resource/Sieghartskirchen', u'http://nl.dbpedia.org/resource/S\xfcdliche_Sexegertenspitze', u'http://nl.dbpedia.org/resource/S\xfcdlicher_\xd6lgrubenkopf', u'http://nl.dbpedia.org/resource/Taufkarkogel', u'http://nl.dbpedia.org/resource/Teufelsegg']"
Auschwitz,AmsterdamviaWesterborkpadroute,in text,LOC,57,52430,100.0,"[u'http://nl.dbpedia.org/resource/Auschwitz', u'http://nl.dbpedia.org/resource/Auschwitz_(stad)', u'http://nl.dbpedia.org/resource/Auschwitz_(stad)', u'http://dbpedia.org/resource/O%C5%9Bwi%C4%99cim', u'http://dbpedia.org/resource/Auschwitz_concentration_camp', u'http://dbpedia.org/resource/O%C5%9Bwi%C4%99cim', u'http://dbpedia.org/resource/Przemys%C5%82aw_Niemiec', u'http://dbpedia.org/resource/Rafael_Sch%C3%A4chter', u'http://dbpedia.org/resource/Auschwitz_concentration_camp', u'http://wikidata.dbpedia.org/resource/Q163293']"
Sobibor,AmsterdamviaWesterborkpadroute,in text,LOC,73,9285,90.0,"[u'http://nl.dbpedia.org/resource/Sobibor', u'http://nl.dbpedia.org/resource/Sobibor', u'http://wikidata.dbpedia.org/resource/Q152658', u'http://www.wikidata.org/entity/Q152658', u'http://nl.dbpedia.org/resource/Sobibor_(vernietigingskamp)', u'http://nl.dbpedia.org/resource/Sobibor_(vernietigingskamp)', u'http://nl.dbpedia.org/resource/Sobib\xf3r_(vernietigingskamp)', u'http://nl.dbpedia.org/resource/Escape_from_Sobibor', u'http://nl.dbpedia.org/resource/Escape_from_Sobibor', u'http://dbpedia.org/resource/Escape_from_Sobibor']"
Joden,AmsterdamviaWesterborkpadroute,in text,PER,12,11855,100.0,"[u'http://nl.dbpedia.org/resource/Joden', u'http://nl.dbpedia.org/resource/Categorie:Joden', u'http://nl.dbpedia.org/resource/Slag_bij_Khaybar', u'http://nl.dbpedia.org/resource/Joden', u'http://nl.dbpedia.org/resource/Slag_bij_Khaybar', u'http://nl.dbpedia.org/resource/Joden', u'http://dbpedia.org/resource/AFC_Ajax', u'http://dbpedia.org/resource/Jews', u'http://dbpedia.org/resource/Battle_of_Khaybar', u'http://dbpedia.org/resource/Jews']"
Nederland,AmsterdamviaWesterborkpadroute,in text,LOC,62,380075,100.0,"[u'http://nl.dbpedia.org/resource/Schakels_(film)', u'http://nl.dbpedia.org/resource/Schey', u'http://nl.dbpedia.org/resource/Schilberg_(Noorbeek)', u'http://nl.dbpedia.org/resource/Schipholtunnel_(auto)', u'http://nl.dbpedia.org/resource/Schokland', u'http://nl.dbpedia.org/resource/SchoolTV', u'http://nl.dbpedia.org/resource/Schoor_(Nederweert)', u'http://nl.dbpedia.org/resource/Schoot_(Veldhoven)', u'http://nl.dbpedia.org/resource/Schurenberg', u'http://nl.dbpedia.org/resource/Seppe_Airport']"
Roma,AmsterdamviaWesterborkpadroute,in text,PER,114,1134025,100.0,"[u'http://nl.dbpedia.org/resource/Finale_Europacup_I_1984', u'http://nl.dbpedia.org/resource/Roma_(film)', u'http://nl.dbpedia.org/resource/Roma_(metrostation)', u'http://nl.dbpedia.org/resource/Claudio_Caniggia', u'http://nl.dbpedia.org/resource/Roma_(Gotland)', u'http://nl.dbpedia.org/resource/Roma_(Texas)', u'http://nl.dbpedia.org/resource/Roma_(film)', u'http://nl.dbpedia.org/resource/Categorie:Roma', u'http://nl.dbpedia.org/resource/Roma_(film)__0069191__1', u'http://nl.dbpedia.org/resource/UEFA_Cupfinale_1991']"
Sinti,AmsterdamviaWesterborkpadroute,in text,PER,46,5532,100.0,"[u'http://nl.dbpedia.org/resource/Sinti', u'http://nl.dbpedia.org/resource/Sinti', u'http://dbpedia.org/resource/Sinti', u'http://wikidata.dbpedia.org/resource/Q840648', u'http://dbpedia.org/resource/Sinti', u'http://dbpedia.org/resource/Sinti', u'http://dbpedia.org/resource/Sinti', u'http://nl.dbpedia.org/resource/Landelijke_Sinti_Organisatie', u'http://nl.dbpedia.org/resource/Rechtsherstel_Sinti_en_Roma', u'http://nl.dbpedia.org/resource/Roma_en_Sinti-monument']"
NS-station Amsterdam Centraal,AmsterdamviaWesterborkpadroute,in text,LOC,28,0,,[]
Stationsplein,AmsterdamviaWesterborkpadroute,in text,LOC,10,2899,100.0,"[u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Eindhoven_(stad)', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Baarn__681__1', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Cuijk__2296__1', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Haarlem__2515__1', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Hengelo__4__1', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Waddinxveen__1044__1', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Eindhoven_(stad)__Stationsplein__1', u'http://nl.dbpedia.org/resource/Kamperbrug', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Deerlijk', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Haarlem__2317__1']"
Fietsenstalling,AmsterdamviaWesterborkpadroute,in text,LOC,10,822,70.0,"[u'http://nl.dbpedia.org/resource/Station_Temse', u'http://nl.dbpedia.org/resource/Fietsenstalling', u'http://dbpedia.org/resource/Bicycle_parking', u'http://standaarden.overheid.nl/owms/terms/fietsenstalling', u'http://dbpedia.org/resource/Bicycle_parking_station', u'http://dbpedia.org/resource/Bicycle_parking', u'http://vocab.getty.edu/aat/term/1000468243-nl', u'http://standaarden.overheid.nl/owms/terms/fietsenstalling', u'http://nl.dbpedia.org/resource/Station_Aalst-Kerrebroek', u'http://nl.dbpedia.org/resource/Station_Buggenhout']"
Singel,AmsterdamviaWesterborkpadroute,in text,LOC,3626,180705,100.0,"[u'http://nl.dbpedia.org/resource/Singel_(Sneek)', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Lille', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Lille', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Wijk_bij_Duurstede__2073__1', u'http://nl.dbpedia.org/resource/Singel_(Amsterdam)', u'http://nl.dbpedia.org/resource/Singel_(Sneek)', u'http://nl.dbpedia.org/resource/Singel', u'http://wikidata.dbpedia.org/resource/Q17543402', u'http://wikidata.dbpedia.org/resource/Q19515233', u'http://wikidata.dbpedia.org/resource/Q19515236']"
Brouwersgracht,AmsterdamviaWesterborkpadroute,in text,LOC,3,1750,60.0,"[u'http://nl.dbpedia.org/resource/Brouwersgracht_(Amsterdam)', u'http://purl.org/collections/nl/am/t-2765', u'http://nl.dbpedia.org/resource/Marnixkade_(Amsterdam)', u'http://nl.dbpedia.org/resource/Brouwersgracht_(Amsterdam)', u'http://nl.dbpedia.org/resource/Prinsengracht', u'http://nl.dbpedia.org/resource/Keizersgracht_(Amsterdam)', u'http://www.wikidata.org/entity/Q2575400', u'http://www.wikidata.org/entity/Q18974947', u'http://www.wikidata.org/entity/Q18974950', u'http://nl.dbpedia.org/resource/Brouwersgracht_(Amsterdam)']"
Melkmeisjesbrug,AmsterdamviaWesterborkpadroute,in text ,LOC,3,4,50.0,"[u'http://bag.kadaster.nl/id/openbareruimte/0363300011950598', u'http://bag.kadaster.nl/id/openbareruimte/0363300011950598', u'http://dbpedia.org/resource/Amsterdammertje', u'http://dbpedia.org/resource/Amsterdammertje']"
Herengracht,AmsterdamviaWesterborkpadroute,in text,LOC,5,8422,90.0,"[u'http://nl.dbpedia.org/resource/Langegracht_(Maarssen)', u'http://nl.dbpedia.org/resource/Fluwelen_Burgwal', u'http://nl.dbpedia.org/resource/Herengracht_(Maarssen)', u'http://nl.dbpedia.org/resource/Herengracht_(Maarssen)', u'http://nl.dbpedia.org/resource/Herengracht', u'http://purl.org/collections/nl/am/t-1730', u'http://wikidata.dbpedia.org/resource/Q19249631', u'http://wikidata.dbpedia.org/resource/Q19249642', u'http://wikidata.dbpedia.org/resource/Q2982366', u'http://wikidata.dbpedia.org/resource/Q2588107']"
Herenstraat,AmsterdamviaWesterborkpadroute,in text,LOC,3,3088,100.0,"[u'http://nl.dbpedia.org/resource/Herenstraat_(Utrecht)', u'http://nl.dbpedia.org/resource/Herenstraat', u'http://nl.dbpedia.org/resource/Herenstraat', u'http://wikidata.dbpedia.org/resource/Q19249734', u'http://wikidata.dbpedia.org/resource/Q19249742', u'http://wikidata.dbpedia.org/resource/Q19249753', u'http://wikidata.dbpedia.org/resource/Q19249774', u'http://wikidata.dbpedia.org/resource/Q19249780', u'http://wikidata.dbpedia.org/resource/Q19249793', u'http://wikidata.dbpedia.org/resource/Q19249839']"
Keizersgracht,AmsterdamviaWesterborkpadroute,in text,LOC,4,8277,100.0,"[u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Amsterdam_Centrum_(Grachtengordel-West)/Deel4', u'http://nl.dbpedia.org/resource/Astoria_(Amsterdam)', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Leeuwarden__253__1', u'http://nl.dbpedia.org/resource/Keizersgracht_(Amsterdam)', u'http://nl.dbpedia.org/resource/Keizersgracht', u'http://wikidata.dbpedia.org/resource/Q19293229', u'http://wikidata.dbpedia.org/resource/Q19293231', u'http://wikidata.dbpedia.org/resource/Q13742596', u'http://nl.dbpedia.org/resource/Keizersgracht_(Amsterdam)', u'http://nl.dbpedia.org/resource/Astoria_(Amsterdam)']"
Leliegracht,AmsterdamviaWesterborkpadroute,in text,LOC,4,490,80.0,"[u'http://nl.dbpedia.org/resource/Leliegracht', u'http://nl.dbpedia.org/resource/Leliegracht', u'http://purl.org/collections/nl/am/t-27144', u'http://nl.dbpedia.org/resource/Leliegracht', u'http://nl.dbpedia.org/resource/Leliegracht', u'http://www.wikidata.org/entity/Q2400867', u'http://nl.dbpedia.org/resource/Leliegracht', u'http://wikidata.dbpedia.org/resource/Q1842315', u'http://wikidata.dbpedia.org/resource/Q2400867', u'http://nl.dbpedia.org/resource/Leliegracht']"
Prinsengracht,AmsterdamviaWesterborkpadroute,in text,LOC,5,6926,100.0,"[u'http://dbpedia.org/resource/Canals_of_Amsterdam%23Prinsengracht', u'http://wikidata.dbpedia.org/resource/Q19430692', u'http://wikidata.dbpedia.org/resource/Q19430695', u'http://wikidata.dbpedia.org/resource/Q841583', u'http://nl.dbpedia.org/resource/Woudvaartbrug', u'http://nl.dbpedia.org/resource/Leliegracht', u'http://nl.dbpedia.org/resource/Looiersgracht', u'http://nl.dbpedia.org/resource/Bloemgracht_(Amsterdam)', u'http://dbpedia.org/resource/Spiegelgracht', u'http://nl.dbpedia.org/resource/Prinsengracht']"
Anne Frankhuis,AmsterdamviaWesterborkpadroute,in text,MON,4,135,70.0,"[u'http://nl.dbpedia.org/resource/Anne_Frankhuis', u'http://nl.dbpedia.org/resource/Anne_Frankhuis', u'http://www.wikidata.org/entity/Q165366', u'http://sws.geonames.org/6618987/', u'http://rdf.freebase.com/ns/m.02s5hd', u'http://nl.dbpedia.org/resource/Anne_Frankhuis_(Amsterdam)', u'http://nl.dbpedia.org/resource/Anne_Frankhuis_(Amsterdam)', u'http://wikidata.dbpedia.org/resource/Q165366', u'http://dbpedia.org/resource/Anne_frankhuis', u'http://dbpedia.org/resource/Anne_Frank_House']"
Westermarkt,AmsterdamviaWesterborkpadroute,in text,LOC,2,248,80.0,"[u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam__1499__1', u'http://nl.dbpedia.org/resource/Westermarkt', u'http://purl.org/collections/nl/am/t-2619', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam__1500__1', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam', u'http://nl.dbpedia.org/resource/Westermarkt', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam__1500__1', u'http://www.wikidata.org/entity/Q2512530', u'http://wikidata.dbpedia.org/resource/Q3013843', u'http://wikidata.dbpedia.org/resource/Q19650473']"
Reestraat,AmsterdamviaWesterborkpadroute,in text,LOC,2,211,100.0,"[u'http://wikidata.dbpedia.org/resource/Q19463449', u'http://wikidata.dbpedia.org/resource/Q19463453', u'http://wikidata.dbpedia.org/resource/Q19463456', u'http://wikidata.dbpedia.org/resource/Q19463459', u'http://wikidata.dbpedia.org/resource/Q19463448', u'http://wikidata.dbpedia.org/resource/Q19463451', u'http://wikidata.dbpedia.org/resource/Q19463455', u'http://wikidata.dbpedia.org/resource/Q19463458', u'http://wikidata.dbpedia.org/resource/Q19463457', u'http://wikidata.dbpedia.org/resource/Q19463454']"
Gouden Eeuw,AmsterdamviaWesterborkpadroute,in text,TIME,17,3643,40.0,"[u'http://www.mpii.de/yago/resource/Dutch_Golden_Age', u'http://dbpedia.org/resource/Golden_Age_%28disambiguation%29', u'http://rdf.freebase.com/ns/m.01k12m', u'http://dbpedia.org/resource/Dutch_Golden_Age', u'http://wikidata.dbpedia.org/resource/Q661566', u'http://dbpedia.org/resource/Golden_Age_(disambiguation)', u'http://www.wikidata.org/entity/Q238526', u'http://www.wikidata.org/entity/Q335878', u'http://www.wikidata.org/entity/Q228713', u'http://vocab.getty.edu/aat/term/1000487251-nl']"
Wolvenstraat ,AmsterdamviaWesterborkpadroute,in text,LOC,5,263,90.0,"[u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Kortrijk/deel2', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Meulebeke', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Wervik', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Kortrijk/P-Z', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Wervik', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Wervik', u'http://www.wikidata.org/entity/Q18948842', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Kortrijk/deel2', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Meulebeke', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Meulebeke']"
Koningsplein,AmsterdamviaWesterborkpadroute,in text,LOC,4,994,100.0,"[u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Lier', u'http://nl.dbpedia.org/resource/Koningsplein', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Hamme', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Lier', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Hamme', u'http://nl.dbpedia.org/resource/Lijst_van_onroerend_erfgoed_in_Koningshooikt', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Maastricht__933__1', u'http://nl.dbpedia.org/resource/Koningsplein', u'http://wikidata.dbpedia.org/resource/Q19307381', u'http://wikidata.dbpedia.org/resource/Q2669719']"
Vijzelstraat ,AmsterdamviaWesterborkpadroute,in text,LOC,5,605,100.0,"[u'http://nl.dbpedia.org/resource/De_Bazel_(Amsterdam)', u'http://nl.dbpedia.org/resource/Ketelstraat_(Arnhem)', u'http://nl.dbpedia.org/resource/Vijzelstraat', u'http://nl.dbpedia.org/resource/Vijzelstraat', u'http://dbpedia.org/resource/De_Bazel', u'http://wikidata.dbpedia.org/resource/Q3102156', u'http://wikidata.dbpedia.org/resource/Q19634763', u'http://wikidata.dbpedia.org/resource/Q19634762', u'http://wikidata.dbpedia.org/resource/Q19634766', u'http://wikidata.dbpedia.org/resource/Q19634770']"
Thorbeckeplein,AmsterdamviaWesterborkpadroute,in text,LOC,2,236,80.0,"[u'http://nl.dbpedia.org/resource/Wijken_en_buurten_in_Amersfoort', u'http://wikidata.dbpedia.org/resource/Q19566294', u'http://wikidata.dbpedia.org/resource/Q19566297', u'http://www.wikidata.org/entity/Q3104952', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Burgwallen-Nieuwe_Zijde', u'http://nl.dbpedia.org/resource/Thorbeckeplein', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Amsterdam_Centrum_(Burgwallen-Nieuwe_Zijde)/Deel8', u'http://nl.dbpedia.org/resource/Thorbeckeplein', u'http://purl.org/collections/nl/am/t-2497', u'http://wikidata.dbpedia.org/resource/Q3104952']"
