Literal,Source,Part of the text,Entity type,ES Time elapsed,# ES Hits,DBpedia in first 100,100 or less,Hits
Willemstraat,MastbosBredaroute,in text,LOC,9,423,91.0,100.0,"[u'http://wikidata.dbpedia.org/resource/Q2915046', u'http://wikidata.dbpedia.org/resource/Q19658215', u'http://wikidata.dbpedia.org/resource/Q19658232', u'http://wikidata.dbpedia.org/resource/Q19658234', u'http://wikidata.dbpedia.org/resource/Q19658239', u'http://wikidata.dbpedia.org/resource/Q19658264', u'http://wikidata.dbpedia.org/resource/Q19658276', u'http://wikidata.dbpedia.org/resource/Q19658289', u'http://wikidata.dbpedia.org/resource/Q19658222', u'http://wikidata.dbpedia.org/resource/Q19658226', u'http://wikidata.dbpedia.org/resource/Q19658241', u'http://wikidata.dbpedia.org/resource/Q19658243', u'http://wikidata.dbpedia.org/resource/Q19658248', u'http://wikidata.dbpedia.org/resource/Q19658253', u'http://wikidata.dbpedia.org/resource/Q19658255', u'http://wikidata.dbpedia.org/resource/Q19658257', u'http://wikidata.dbpedia.org/resource/Q19658267', u'http://wikidata.dbpedia.org/resource/Q19658274', u'http://wikidata.dbpedia.org/resource/Q19658282', u'http://wikidata.dbpedia.org/resource/Q19658284']"
Academiesingel,MastbosBredaroute,in text,LOC,8,19,13.0,19.0,"[u'http://www.wikidata.org/entity/Q2686740', u'http://nl.dbpedia.org/resource/Academiesingel', u'http://nl.dbpedia.org/resource/Academiesingel', u'http://wikidata.dbpedia.org/resource/Q2686740', u'http://bag.kadaster.nl/id/openbareruimte/0758300000000079', u'http://nl.dbpedia.org/resource/Academiesingel', u'http://nl.dbpedia.org/resource/Academiesingel', u'http://nl.dbpedia.org/resource/Academiesingel', u'http://nl.dbpedia.org/resource/Academiesingel', u'http://nl.dbpedia.org/resource/Spoorbuurt_Breda', u'http://nl.dbpedia.org/resource/Spoorbuurt_Breda', u'http://nl.dbpedia.org/resource/Spoorbuurt_Breda', u'http://nl.dbpedia.org/resource/Spoorbuurt_Breda', u'http://nl.dbpedia.org/resource/Spanjaardsgat', u'http://nl.dbpedia.org/resource/Spanjaardsgat', u'http://www.harsmedia.com/SoundBlog/Archief/00622.php#00622a', u'http://www.harsmedia.com/SoundBlog/Archief/00622.php#00622a', u'http://www.harsmedia.com/SoundBlog/Archief/00622.php', u'http://www.harsmedia.com/SoundBlog/Archief/00622.php']"
Valkenbergpark,MastbosBredaroute,in text,MON,6,0,0.0,0.0,[]
Nieuwe Prinsenkade,MastbosBredaroute,in text,LOC,14,2,1.0,2.0,"[u'http://wikidata.dbpedia.org/resource/Q19354986', u'http://bag.kadaster.nl/id/openbareruimte/0758300000001802']"
Engelbrecht van Nassau,MastbosBredaroute,in text,PER,21,12,10.0,12.0,"[u'http://nl.dbpedia.org/resource/Stamboom_Engelbrecht_van_Nassau', u'http://www.wikidata.org/entity/Q1966663', u'http://nl.dbpedia.org/resource/Stamboom_Engelbrecht_van_Nassau', u'http://wikidata.dbpedia.org/resource/Q1966663', u'http://nl.dbpedia.org/resource/Stamboom_Engelbrecht_van_Nassau_(1451-1504)', u'http://nl.dbpedia.org/resource/Stamboom_Engelbrecht_van_Nassau_(1451-1504)', u'http://ld.zdb-services.de/resource/2778674-2', u'http://dbpedia.org/resource/Engelbert_II_of_Nassau', u'http://dbpedia.org/resource/Engelbert_II_of_Nassau', u'http://dbpedia.org/resource/Engelbert_II_of_Nassau', u'http://nl.dbpedia.org/resource/Engelbrecht_II_van_Nassau', u'http://nl.dbpedia.org/resource/Engelbrecht_II_van_Nassau']"
Hendrik III van Nassau,MastbosBredaroute,in text,PER,33,159,96.0,100.0,"[u'http://wikidata.dbpedia.org/resource/Q69450', u'http://www.wikidata.org/entity/Q69450', u'http://nl.dbpedia.org/resource/Hendrik_III_van_Nassau', u'http://nl.dbpedia.org/resource/Hendrik_III_van_Nassau', u'http://nl.dbpedia.org/resource/Hendrik_III_van_Nassau-Breda', u'http://nl.dbpedia.org/resource/Hendrik_III_van_Nassau-Beilstein', u'http://wikidata.dbpedia.org/resource/Q2755987', u'http://nl.dbpedia.org/resource/Hendrik_III_van_Nassau-Beilstein', u'http://nl.dbpedia.org/resource/Hendrik_III_van_Nassau-Beilstein', u'http://www.wikidata.org/entity/Q69450', u'http://nl.dbpedia.org/resource/Hendrik_III_van_Nassau-Beilstein', u'http://nl.dbpedia.org/resource/Hendrik_III_van_Nassau-Breda', u'http://dbpedia.org/resource/Henry_III_of_Nassau-Breda', u'http://rdf.freebase.com/ns/m.042fs9', u'http://wikidata.dbpedia.org/resource/Q69450', u'http://dbpedia.org/resource/Henry_III_of_Nassau-Breda', u'http://www.wikidata.org/entity/Q2755987', u'http://nl.dbpedia.org/resource/Hendrik_III_van_Nassau-Beilstein', u'http://nl.dbpedia.org/resource/Hendrik_III_van_Nassau-Beilstein', u'http://nl.dbpedia.org/resource/Hendrik_III_van_Nassau-Beilstein']"
Willem van Oranje,MastbosBredaroute,in text,PER,37,2960,91.0,100.0,"[u'http://nl.dbpedia.org/resource/Slag_bij_Leuven_(1831)', u'http://nl.dbpedia.org/resource/Slag_om_Baasrode', u'http://nl.dbpedia.org/resource/CSG_Willem_van_Oranje', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Den_Haag', u'http://nl.dbpedia.org/resource/Maximilien_de_H\xe9nin-Li\xe9tard', u'http://nl.dbpedia.org/resource/Filips_Willem_van_Oranje', u'http://nl.dbpedia.org/resource/Willem_van_Oranje_(film)', u'http://nl.dbpedia.org/resource/Sint-Jorisgilde_(Gent)', u'http://nl.dbpedia.org/resource/\xc9mile_de_Nieuwerkerke', u'http://nl.dbpedia.org/resource/Willem_van_Oranje_(televisieserie)', u'http://nl.dbpedia.org/resource/Willem_van_Oranje-Nassau', u'http://nl.dbpedia.org/resource/Willem_van_Oranje', u'http://nl.dbpedia.org/resource/Willem_van_oranje_college', u'http://nl.dbpedia.org/resource/Willem_van_Oranje_(hoofdbetekenis)', u'http://nl.dbpedia.org/resource/Willem_van_Oranje_College', u'http://dbpedia.org/resource/Willem_van_Oranje_%28film%29', u'http://dbpedia.org/resource/William_the_Silent', u'http://dbpedia.org/resource/Willem_van_Oranje_%28film%29', u'http://dbpedia.org/resource/Willem_van_Oranje_%28film%29', u'http://dbpedia.org/resource/Maximilien_de_H%C3%A9nin-Li%C3%A9tard']"
Prins Filips Willem,MastbosBredaroute,in text,PER,23,3,1.0,3.0,"[u'http://lobid.org/resource/HT017101186', u'http://lobid.org/resource/HT017101186', u'http://dbpedia.org/resource/Cornelis_van_Aarsens']"
Breda,MastbosBredaroute,in text,LOC,31,76648,99.0,100.0,"[u'http://nl.dbpedia.org/resource/Verzorgingsplaats_Voetpomp', u'http://nl.dbpedia.org/resource/Pieter_Huijsers', u'http://nl.dbpedia.org/resource/Pieter_Huijsers', u'http://nl.dbpedia.org/resource/Verzorgingsplaats_Vliedberg', u'http://nl.dbpedia.org/resource/Verzorgingsplaats_Voetpomp', u'http://nl.dbpedia.org/resource/Sint-Antoniuskathedraal_(Breda)', u'http://nl.dbpedia.org/resource/Ronde_van_Nederland_1984', u'http://nl.dbpedia.org/resource/Frans_K\xfcnen', u'http://nl.dbpedia.org/resource/Ginnekenstraat_(Breda)', u'http://nl.dbpedia.org/resource/Ginnekenweg', u'http://nl.dbpedia.org/resource/Prinsenkade', u'http://nl.dbpedia.org/resource/\xd6mer_Bayram', u'http://nl.dbpedia.org/resource/Baronielaan', u'http://nl.dbpedia.org/resource/Breda_(geslacht)', u'http://nl.dbpedia.org/resource/Breda_apicalis', u'http://nl.dbpedia.org/resource/Boschstraat_(Breda)', u'http://nl.dbpedia.org/resource/Breda_(Spanje)', u'http://nl.dbpedia.org/resource/Breda_(gemeente)', u'http://nl.dbpedia.org/resource/Breda_(geslacht)', u'http://nl.dbpedia.org/resource/Breda_bistriata']"
Prins Maurits,MastbosBredaroute,in text,PER,17,1029,90.0,100.0,"[u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__72', u'http://wikidata.dbpedia.org/resource/Q2049426', u'http://wikidata.dbpedia.org/resource/Q17343336', u'http://nl.dbpedia.org/resource/Beleg_van_Hulst_(1596)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://www.wikidata.org/entity/Q2049426', u'http://nl.dbpedia.org/resource/Beleg_van_Hulst_(1596)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__72', u'http://www.wikidata.org/entity/Q17343336', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Beleg_van_Hulst_(1596)', u'http://nl.dbpedia.org/resource/Prins_Maurits', u'http://nl.dbpedia.org/resource/Prins_Maurits', u'http://nl.dbpedia.org/resource/Beleg_van_Hulst_(1596)', u'http://sws.geonames.org/6950183/', u'http://nl.dbpedia.org/resource/Eendracht_(zeilend_zeeschip)', u'http://nl.dbpedia.org/resource/Molen_Prins_Maurits', u'http://nl.dbpedia.org/resource/Prins_Maurits-Medaille']"
Spanjaarden,MastbosBredaroute,in text,PER,13,5348,48.0,100.0,"[u'http://nl.dbpedia.org/resource/Spanjaarden', u'http://nl.dbpedia.org/resource/Bestorming_van_Rotterdam_(1572)', u'http://dbpedia.org/resource/Spanish_people', u'http://dbpedia.org/resource/Spanish_people', u'http://rdf.freebase.com/ns/m.03ttfc', u'http://nl.dbpedia.org/resource/Bestorming_van_Rotterdam_(1572)', u'http://nl.dbpedia.org/resource/Bestorming_van_Rotterdam_(1572)', u'http://lod.b3kat.de/title/BV002933250', u'http://lod.b3kat.de/title/BV002940372', u'http://lod.b3kat.de/title/BV005646970', u'http://lod.b3kat.de/title/BV005478095', u'http://lod.b3kat.de/title/BV005136944', u'http://lod.b3kat.de/title/BV001779609', u'http://lod.b3kat.de/title/BV005339357', u'http://lod.b3kat.de/title/BV000550184', u'http://lod.b3kat.de/title/BV004381370', u'http://lod.b3kat.de/title/BV003369259', u'http://lod.b3kat.de/title/BV007715935', u'http://lod.b3kat.de/title/BV008782068', u'http://nl.dbpedia.org/resource/Spaanse_Furie_(Maastricht)']"
Granaat- en Duiventoren,MastbosBredaroute,in text,MON,18,0,0.0,0.0,[]
Spanjaardsgat,MastbosBredaroute,in text,MON,11,61,57.0,61.0,"[u'http://nl.dbpedia.org/resource/Spanjaardsgat', u'http://www.wikidata.org/entity/Q3353274', u'http://nl.dbpedia.org/resource/Spanjaardsgat', u'http://wikidata.dbpedia.org/resource/Q3353274', u'http://linkedgeodata.org/triplify/node2043183726', u'http://nl.dbpedia.org/resource/Talita_Angwarmasse', u'http://nl.dbpedia.org/resource/Talita_Angwarmasse', u'http://nl.dbpedia.org/resource/Talita_Angwarmasse', u'http://nl.dbpedia.org/resource/Talita_Angwarmasse', u'http://nl.dbpedia.org/resource/Spanjaardsgat', u'http://nl.dbpedia.org/resource/Spanjaardsgat', u'http://nl.dbpedia.org/resource/Spanjaardsgat', u'http://nl.dbpedia.org/resource/Spanjaardsgat', u'http://nl.dbpedia.org/resource/Oude_Postkantoor_(Breda)', u'http://nl.dbpedia.org/resource/De_Mok_(Texel)', u'http://nl.dbpedia.org/resource/Oude_Postkantoor_(Breda)', u'http://nl.dbpedia.org/resource/Oude_Postkantoor_(Breda)', u'http://nl.dbpedia.org/resource/De_Mok_(Texel)', u'http://nl.dbpedia.org/resource/Oude_Postkantoor_(Breda)', u'http://nl.dbpedia.org/resource/Granaattoren']"
VVV Breda,MastbosBredaroute,in text,ORG,15,4,4.0,4.0,"[u'http://nl.dbpedia.org/resource/Spoorbuurt_Breda', u'http://nl.dbpedia.org/resource/Spoorbuurt_Breda', u'http://nl.dbpedia.org/resource/Spoorbuurt_Breda', u'http://nl.dbpedia.org/resource/Spoorbuurt_Breda']"
Haven,MastbosBredaroute,in text,LOC,47,384665,99.0,100.0,"[u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Naarden', u'http://nl.dbpedia.org/resource/Hornb\xe6k_(Helsing\xf8r)', u'http://nl.dbpedia.org/resource/Jamburg', u'http://nl.dbpedia.org/resource/Farsund_(plaats)', u'http://nl.dbpedia.org/resource/Haven_(Kansas)', u'http://nl.dbpedia.org/resource/Farsund_(plaats)', u'http://nl.dbpedia.org/resource/Haven_(Kansas)', u'http://nl.dbpedia.org/resource/Skive_(plaats)', u'http://nl.dbpedia.org/resource/Skive_(plaats)', u'http://nl.dbpedia.org/resource/Gilleleje', u'http://nl.dbpedia.org/resource/Nieuw-Beijerland', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Naarden', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Naarden', u'http://nl.dbpedia.org/resource/Hornb\xe6k_(Helsing\xf8r)', u'http://nl.dbpedia.org/resource/Haven_(Law_&_Order)', u'http://nl.dbpedia.org/resource/Haven_(waterschap)', u'http://dbpedia.org/resource/Marina_di_Grosseto', u'http://dbpedia.org/resource/Nieuw-Beijerland', u'http://dbpedia.org/resource/Antalya', u'http://dbpedia.org/resource/Vejle']"
Tolbrugstraat,MastbosBredaroute,in text,LOC,10,66,49.0,66.0,"[u'http://wikidata.dbpedia.org/resource/Q19567733', u'http://wikidata.dbpedia.org/resource/Q19567734', u'http://wikidata.dbpedia.org/resource/Q19567735', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Dordrecht', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Dordrecht', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__404', u'http://wikidata.dbpedia.org/resource/Q19567738', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__192', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__192', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Dordrecht__Dordrecht__325', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Dordrecht', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://wikidata.dbpedia.org/resource/Q19567737', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)']"
Nieuweweg,MastbosBredaroute,in text,LOC,12,804,100.0,100.0,"[u'http://wikidata.dbpedia.org/resource/Q19355521', u'http://wikidata.dbpedia.org/resource/Q19355531', u'http://wikidata.dbpedia.org/resource/Q19355543', u'http://wikidata.dbpedia.org/resource/Q19355549', u'http://wikidata.dbpedia.org/resource/Q19355555', u'http://wikidata.dbpedia.org/resource/Q19355561', u'http://wikidata.dbpedia.org/resource/Q19355565', u'http://wikidata.dbpedia.org/resource/Q19355569', u'http://wikidata.dbpedia.org/resource/Q19355571', u'http://wikidata.dbpedia.org/resource/Q19355575', u'http://wikidata.dbpedia.org/resource/Q19355578', u'http://wikidata.dbpedia.org/resource/Q19355583', u'http://wikidata.dbpedia.org/resource/Q19355589', u'http://wikidata.dbpedia.org/resource/Q19355595', u'http://wikidata.dbpedia.org/resource/Q19355601', u'http://wikidata.dbpedia.org/resource/Q19355604', u'http://wikidata.dbpedia.org/resource/Q19355607', u'http://wikidata.dbpedia.org/resource/Q19355609', u'http://wikidata.dbpedia.org/resource/Q19355610', u'http://wikidata.dbpedia.org/resource/Q19355613']"
